date_trunc;relid;schemaname;relname;seq_scan;seq_tup_read;idx_scan;idx_tup_fetch;n_tup_ins;n_tup_upd;n_tup_del;n_tup_hot_upd;n_live_tup;n_dead_tup;last_vacuum;last_autovacuum;last_analyze;last_autoanalyze;vacuum_count;autovacuum_count;analyze_count;autoanalyze_count
2015-09-19 17:22:04-03;3592;pg_catalog;pg_shseclabel;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2619;pg_catalog;pg_statistic;0;0;503;480;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;1213;pg_catalog;pg_tablespace;0;0;705;705;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2620;pg_catalog;pg_trigger;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;3602;pg_catalog;pg_ts_config;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;3603;pg_catalog;pg_ts_config_map;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;3600;pg_catalog;pg_ts_dict;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;3601;pg_catalog;pg_ts_parser;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;3764;pg_catalog;pg_ts_template;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;1247;pg_catalog;pg_type;0;0;875;862;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;1418;pg_catalog;pg_user_mapping;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11647;pg_toast;pg_toast_11645;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11652;pg_toast;pg_toast_11650;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11657;pg_toast;pg_toast_11655;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11662;pg_toast;pg_toast_11660;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11667;pg_toast;pg_toast_11665;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11672;pg_toast;pg_toast_11670;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;11677;pg_toast;pg_toast_11675;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2836;pg_toast;pg_toast_1255;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2846;pg_toast;pg_toast_2396;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
2015-09-19 17:22:04-03;2830;pg_toast;pg_toast_2604;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0
